go	cluster	parent	score	size	term	parentTerm	termUniqueness	termUniquenessWithinCluster	termDispensability	Ont	Tissue
GO:0035082	2	GO:0001578	2.53643836018126	32	axoneme assembly	microtubule bundle formation	0.965661971830986	0.43675	0.983	BP	Hippocampus
GO:0050777	4	GO:0045087	2.53643836018126	13	negative regulation of immune response	innate immune response	0.708478873239437	0.415681818181818	0.633	BP	Hippocampus
GO:0032640	5	GO:0032640	2.53643836018126	0	tumor necrosis factor production	tumor necrosis factor production	0.834661971830986	0.294333333333333	0	BP	Hippocampus
GO:0032680	5	GO:0032640	2.53643836018126	12	regulation of tumor necrosis factor production	tumor necrosis factor production	0.797478873239437	0.293466666666667	0.999	BP	Hippocampus
GO:0071706	5	GO:0032640	2.47232938067333	0	tumor necrosis factor superfamily cytokine production	tumor necrosis factor production	0.834338028169014	0.293133333333333	0.995	BP	Hippocampus
GO:1903555	5	GO:0032640	2.47232938067333	0	regulation of tumor necrosis factor superfamily cytokine production	tumor necrosis factor production	0.797098591549296	0.292266666666667	0.995	BP	Hippocampus
GO:0002832	6	GO:0002832	2.45741846425359	0	negative regulation of response to biotic stimulus	negative regulation of response to biotic stimulus	0.791014084507042	0.387333333333333	0	BP	Hippocampus
GO:0002443	4	GO:0045087	2.45741846425359	1	leukocyte mediated immunity	innate immune response	0.771887323943662	0.337090909090909	0.556	BP	Hippocampus
GO:0002252	4	GO:0045087	2.45741846425359	0	immune effector process	innate immune response	0.772140845070423	0.337	0.594	BP	Hippocampus
GO:0002250	4	GO:0045087	2.30473062111133	434	adaptive immune response	innate immune response	0.762971830985916	0.41	0.72	BP	Hippocampus
GO:0007600	7	GO:0007600	2.29661393331819	11	sensory perception	sensory perception	0.908929577464789	0.4308	0	BP	Hippocampus
GO:0006959	4	GO:0045087	2.29661393331819	60	humoral immune response	innate immune response	0.771070422535211	0.424045454545455	0.661	BP	Hippocampus
GO:0006956	4	GO:0045087	2.29661393331819	29	complement activation	innate immune response	0.681380281690141	0.3215	0.596	BP	Hippocampus
GO:0002237	1	GO:0009617	2.29661393331819	9	response to molecule of bacterial origin	response to bacterium	0.832197183098592	0.303833333333333	0.914	BP	Hippocampus
GO:0032609	5	GO:0032640	2.28453904910928	0	type II interferon production	tumor necrosis factor production	0.852098591549296	0.374666666666667	0.623	BP	Hippocampus
GO:0032649	5	GO:0032640	2.28453904910928	5	regulation of type II interferon production	tumor necrosis factor production	0.816	0.373533333333333	0.623	BP	Hippocampus
GO:0032760	5	GO:0032640	2.28453904910928	114	positive regulation of tumor necrosis factor production	tumor necrosis factor production	0.786943661971831	0.299533333333333	0.954	BP	Hippocampus
GO:1903557	5	GO:0032640	2.17533046683749	0	positive regulation of tumor necrosis factor superfamily cytokine production	tumor necrosis factor production	0.786281690140845	0.2976	0.952	BP	Hippocampus
GO:0032102	6	GO:0002832	2.16147226506253	0	negative regulation of response to external stimulus	negative regulation of response to biotic stimulus	0.796478873239437	0.467666666666667	0.614	BP	Hippocampus
GO:0050679	8	GO:0050679	2.08798826655224	71	positive regulation of epithelial cell proliferation	positive regulation of epithelial cell proliferation	0.926704225352113	1	0	BP	Hippocampus
GO:0001819	5	GO:0032640	2.07326100578672	66	positive regulation of cytokine production	tumor necrosis factor production	0.77530985915493	0.3044	0.74	BP	Hippocampus
GO:0043269	9	GO:0043269	2.05887456240099	7	regulation of monoatomic ion transport	regulation of monoatomic ion transport	0.945605633802817	0.8285	0	BP	Hippocampus
GO:0032729	5	GO:0032640	2.04000006958094	90	positive regulation of type II interferon production	tumor necrosis factor production	0.802647887323944	0.368866666666667	0.604	BP	Hippocampus
GO:0070286	2	GO:0001578	1.92194159967555	20	axonemal dynein complex assembly	microtubule bundle formation	0.966661971830986	0.4525	0.936	BP	Hippocampus
GO:0002455	4	GO:0045087	1.87162528326668	4	humoral immune response mediated by circulating immunoglobulin	innate immune response	0.73787323943662	0.310090909090909	0.557	BP	Hippocampus
GO:0002698	4	GO:0045087	1.77659556791854	0	negative regulation of immune effector process	innate immune response	0.728239436619718	0.348272727272727	0.492	BP	Hippocampus
GO:0002507	4	GO:0045087	1.68418426776178	2	tolerance induction	innate immune response	0.819577464788732	0.625863636363636	0.444	BP	Hippocampus
GO:0032637	5	GO:0032640	1.68418426776178	1	interleukin-8 production	tumor necrosis factor production	0.853661971830986	0.380866666666667	0.613	BP	Hippocampus
GO:0032677	5	GO:0032640	1.68418426776178	4	regulation of interleukin-8 production	tumor necrosis factor production	0.818140845070423	0.3798	0.613	BP	Hippocampus
GO:0032757	5	GO:0032640	1.68418426776178	68	positive regulation of interleukin-8 production	tumor necrosis factor production	0.805549295774648	0.377133333333333	0.592	BP	Hippocampus
GO:0002449	4	GO:0045087	1.68418426776178	0	lymphocyte mediated immunity	innate immune response	0.773492957746479	0.341	0.543	BP	Hippocampus
GO:0016064	4	GO:0045087	1.68418426776178	20	immunoglobulin mediated immune response	innate immune response	0.731507042253521	0.303727272727273	0.618	BP	Hippocampus
GO:0045824	6	GO:0002832	1.68418426776178	24	negative regulation of innate immune response	negative regulation of response to biotic stimulus	0.651901408450704	0.3035	0.959	BP	Hippocampus
GO:0019724	4	GO:0045087	1.68418426776178	4	B cell mediated immunity	innate immune response	0.730943661971831	0.302363636363636	0.62	BP	Hippocampus
GO:0031348	6	GO:0002832	1.67678444402383	0	negative regulation of defense response	negative regulation of response to biotic stimulus	0.816154929577465	0.4625	0.59	BP	Hippocampus
GO:0003014	7	GO:0007600	1.6736321709651	10	renal system process	sensory perception	0.927760563380282	0.5958	0.602	BP	Hippocampus
GO:0042044	9	GO:0043269	1.66829363883243	3	fluid transport	regulation of monoatomic ion transport	0.995169014084507	0.8285	0.343	BP	Hippocampus
GO:0002920	4	GO:0045087	1.66829363883243	2	regulation of humoral immune response	innate immune response	0.742746478873239	0.440681818181818	0.564	BP	Hippocampus
GO:0050776	4	GO:0045087	1.66829363883243	32	regulation of immune response	innate immune response	0.696070422535211	0.368727272727273	0.768	BP	Hippocampus
GO:0001911	10	GO:0001911	1.66829363883243	0	negative regulation of leukocyte mediated cytotoxicity	negative regulation of leukocyte mediated cytotoxicity	0.719394366197183	0.368666666666667	0	BP	Hippocampus
GO:0002704	4	GO:0045087	1.66334615555823	0	negative regulation of leukocyte mediated immunity	innate immune response	0.729971830985916	0.347818181818182	0.466	BP	Hippocampus
GO:0002460	4	GO:0045087	1.65209172451931	0	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	innate immune response	0.769211267605634	0.420863636363636	0.675	BP	Hippocampus
GO:0071216	1	GO:0009617	1.65209172451931	0	cellular response to biotic stimulus	response to bacterium	0.865295774647887	0.3985	0.664	BP	Hippocampus
GO:0031341	10	GO:0001911	1.65209172451931	0	regulation of cell killing	negative regulation of leukocyte mediated cytotoxicity	0.929647887323944	0.398	0.9	BP	Hippocampus
GO:0002831	6	GO:0002832	1.61990833611684	0	regulation of response to biotic stimulus	negative regulation of response to biotic stimulus	0.795507042253521	0.442333333333333	0.859	BP	Hippocampus
GO:0002683	4	GO:0045087	1.61990833611684	1	negative regulation of immune system process	innate immune response	0.747352112676056	0.427318181818182	0.57	BP	Hippocampus
GO:0031342	10	GO:0001911	1.61990833611684	0	negative regulation of cell killing	negative regulation of leukocyte mediated cytotoxicity	0.908450704225352	0.366666666666667	0.994	BP	Hippocampus
GO:0031664	1	GO:0009617	1.61990833611684	4	regulation of lipopolysaccharide-mediated signaling pathway	response to bacterium	0.79469014084507	0.312333333333333	0.726	BP	Hippocampus
GO:0032496	1	GO:0009617	1.61990833611684	138	response to lipopolysaccharide	response to bacterium	0.83343661971831	0.303	0.901	BP	Hippocampus
GO:0006958	4	GO:0045087	1.61990833611684	33	complement activation, classical pathway	innate immune response	0.678056338028169	0.289727272727273	0.546	BP	Hippocampus
GO:0051606	11	GO:0051606	1.58651158706501	4	detection of stimulus	detection of stimulus	0.931042253521127	1	0	BP	Hippocampus
GO:0045229	2	GO:0001578	1.54003663568767	0	external encapsulating structure organization	microtubule bundle formation	0.983915492957746	0.76425	0.323	BP	Hippocampus
GO:0060285	12	GO:0060285	1.54003663568767	15	cilium-dependent cell motility	cilium-dependent cell motility	0.982704225352113	0.5005	0	BP	Hippocampus
GO:0001539	12	GO:0060285	1.54003663568767	0	cilium or flagellum-dependent cell motility	cilium-dependent cell motility	0.982704225352113	0.5005	0.999	BP	Hippocampus
GO:0031663	1	GO:0009617	1.54003663568767	43	lipopolysaccharide-mediated signaling pathway	response to bacterium	0.817225352112676	0.276833333333333	0.778	BP	Hippocampus
GO:0046596	13	GO:0046596	1.53631804227572	18	regulation of viral entry into host cell	regulation of viral entry into host cell	0.884295774647887	0.393	0	BP	Hippocampus
GO:0019233	7	GO:0007600	1.48059656829234	55	sensory perception of pain	sensory perception	0.917605633802817	0.4336	0.798	BP	Hippocampus
GO:0075294	13	GO:0046596	1.48059656829234	0	positive regulation by symbiont of entry into host	regulation of viral entry into host cell	0.874154929577465	0.365333333333333	0.904	BP	Hippocampus
GO:0046598	13	GO:0046596	1.48059656829234	14	positive regulation of viral entry into host cell	regulation of viral entry into host cell	0.873971830985916	0.361	0.917	BP	Hippocampus
GO:0030449	4	GO:0045087	1.48059656829234	8	regulation of complement activation	innate immune response	0.69787323943662	0.349909090909091	0.539	BP	Hippocampus
GO:0002707	4	GO:0045087	1.48059656829234	0	negative regulation of lymphocyte mediated immunity	innate immune response	0.73043661971831	0.346909090909091	0.46	BP	Hippocampus
GO:0002697	4	GO:0045087	1.40376183595887	0	regulation of immune effector process	innate immune response	0.732169014084507	0.322863636363636	0.558	BP	Hippocampus
GO:0032635	5	GO:0032640	1.39855383607872	0	interleukin-6 production	tumor necrosis factor production	0.854366197183099	0.387533333333333	0.641	BP	Hippocampus
GO:0032675	5	GO:0032640	1.39855383607872	12	regulation of interleukin-6 production	tumor necrosis factor production	0.817323943661972	0.386333333333333	0.641	BP	Hippocampus
GO:0051931	7	GO:0007600	1.37546149255537	0	regulation of sensory perception	sensory perception	0.866084507042254	0.4408	0.723	BP	Hippocampus
GO:0051930	7	GO:0007600	1.37546149255537	30	regulation of sensory perception of pain	sensory perception	0.861788732394366	0.3798	0.723	BP	Hippocampus
GO:0034134	6	GO:0002832	1.35937602093495	6	toll-like receptor 2 signaling pathway	negative regulation of response to biotic stimulus	0.696028169014085	0.456666666666667	0.654	BP	Hippocampus
GO:0004888	1	GO:0004888	3.13166878569295	155	transmembrane signaling receptor activity	transmembrane signaling receptor activity	0.924444444444444	0.66	0	MF	Hippocampus
GO:0019838	3	GO:0019838	2.07712997488099	37	growth factor binding	growth factor binding	0.955444444444444	1	0	MF	Hippocampus
GO:0005539	2	GO:0005539	2.07712997488099	26	glycosaminoglycan binding	glycosaminoglycan binding	0.878444444444444	0.678666666666667	0	MF	Hippocampus
GO:0043394	2	GO:0005539	2.07712997488099	15	proteoglycan binding	glycosaminoglycan binding	0.811333333333333	0.518666666666667	0.497	MF	Hippocampus
GO:0140375	1	GO:0004888	1.70262120609688	1	immune receptor activity	transmembrane signaling receptor activity	0.924444444444444	0.66	0.68	MF	Hippocampus
GO:0019840	4	GO:0019840	1.70262120609688	0	isoprenoid binding	isoprenoid binding	0.873111111111111	0.5005	0	MF	Hippocampus
GO:0005501	4	GO:0019840	1.70262120609688	8	retinoid binding	isoprenoid binding	0.873111111111111	0.5005	0.999	MF	Hippocampus
GO:0019955	5	GO:0019955	1.48080438411118	45	cytokine binding	cytokine binding	0.955444444444444	1	0	MF	Hippocampus
GO:0043395	2	GO:0005539	1.44931280381789	18	heparan sulfate proteoglycan binding	glycosaminoglycan binding	0.816444444444444	0.528666666666667	0.467	MF	Hippocampus
GO:0031012	1	GO:0031012	3.34375527894625	240	extracellular matrix	extracellular matrix	0.804294117647059	0.328	0	CC	Hippocampus
GO:0030312	1	GO:0031012	3.34375527894625	0	external encapsulating structure	extracellular matrix	0.804294117647059	0.328	0.991	CC	Hippocampus
GO:0005930	2	GO:0005930	3.11703014850997	151	axoneme	axoneme	0.763470588235294	0.244	0	CC	Hippocampus
GO:0097014	2	GO:0005930	3.11703014850997	1	ciliary plasm	axoneme	0.763352941176471	0.2436	0.997	CC	Hippocampus
GO:0062023	1	GO:0031012	2.97652152919911	480	collagen-containing extracellular matrix	extracellular matrix	0.805411764705882	0.328	0.956	CC	Hippocampus
GO:0030666	3	GO:0030666	1.8287073128867	71	endocytic vesicle membrane	endocytic vesicle membrane	0.894823529411765	0.67	0	CC	Hippocampus
GO:0098552	4	GO:0098552	1.70260864897527	0	side of membrane	side of membrane	0.909705882352941	0.526	0	CC	Hippocampus
GO:0009897	4	GO:0098552	1.59857389131131	454	external side of plasma membrane	side of membrane	0.773823529411765	0.526	0.948	CC	Hippocampus
GO:0005858	2	GO:0005930	1.59857389131131	14	axonemal dynein complex	axoneme	0.76164705882353	0.3252	0.861	CC	Hippocampus
GO:0009986	5	GO:0009986	1.48977605563543	722	cell surface	cell surface	0.947411764705882	1	0	CC	Hippocampus
GO:0005581	8	GO:0005581	1.34264205048925	60	collagen trimer	collagen trimer	0.971235294117647	1	0	CC	Hippocampus
GO:0042611	7	GO:0042611	1.34264205048925	0	MHC protein complex	MHC protein complex	0.862294117647059	1	0	CC	Hippocampus
GO:0072562	6	GO:0072562	1.34264205048925	141	blood microparticle	blood microparticle	1	1	0	CC	Hippocampus
GO:0030667	3	GO:0030666	1.34264205048925	105	secretory granule membrane	endocytic vesicle membrane	0.890823529411765	0.67	0.66	CC	Hippocampus
GO:0098644	1	GO:0031012	1.34264205048925	0	complex of collagen trimers	extracellular matrix	0.837941176470588	0.4355	0.741	CC	Hippocampus
GO:0099568	2	GO:0005930	1.34264205048925	0	cytoplasmic region	axoneme	0.76664705882353	0.2568	0.955	CC	Hippocampus
GO:0032838	2	GO:0005930	1.34264205048925	0	plasma membrane bounded cell projection cytoplasm	axoneme	0.764705882352941	0.2496	0.967	CC	Hippocampus
