trait	candidate_genes	dataset
CD8 on CD28+ CD45RA+ CD8+ T cell	CD8B	Orru_2020
CD8 on CD39+ CD8+ T cell	ALDH18A1	Orru_2020
CD8 on CD39+ CD8+ T cell	HCG17	Orru_2020
CD8 on CD39+ CD8+ T cell	CD8B	Orru_2020
CD38 on IgD+ CD38+ B cell	CD38	Orru_2020
CD38 on IgD+ CD38dim B cell	CD38	Orru_2020
CD38 on IgD- CD38dim B cell	CD38	Orru_2020
CD38 on naive-mature B cell	CD38	Orru_2020
CD38 on IgD+ B cell	CD38	Orru_2020
CD38 on transitional B cell	INKA2	Orru_2020
CD38 on transitional B cell	CD38	Orru_2020
IgD on IgD+ CD24+ B cell	IGHD	Orru_2020
IgD on IgD+ CD24- B cell	KLC1	Orru_2020
IgD on IgD+ CD24- B cell	CDK13	Orru_2020
IgD on IgD+ CD24- B cell	SCN4A	Orru_2020
IgD on IgD+ CD24- B cell	CCDC32	Orru_2020
IgD on IgD+ CD24- B cell	IGHD	Orru_2020
IgD on IgD+ CD38-  B cell	IGHD	Orru_2020
IgD on IgD+ CD38+ B cell	CCDC32	Orru_2020
IgD on IgD+ CD38+ B cell	SNX8	Orru_2020
IgD on IgD+ CD38+ B cell	IGHD	Orru_2020
IgD on IgD+ CD38dim B cell	CDK13	Orru_2020
IgD on IgD+ CD38dim B cell	SCN4A	Orru_2020
IgD on IgD+ CD38dim B cell	CCDC32	Orru_2020
IgD on IgD+ CD38dim B cell	IGHD	Orru_2020
CD20 on IgD+ B cell	MS4A12	Orru_2020
CD20 on transitional B cell	MS4A12	Orru_2020
CD24 on CD24+ CD27+ B cell	LINC02532	Orru_2020
CD24 on IgD+ CD24+ B cell	HMSD	Orru_2020
CD24 on IgD+ CD24+ B cell	GRIK2	Orru_2020
CD24 on IgD+ CD24+ B cell	SEC63	Orru_2020
CD24 on IgD+ CD24+ B cell	LINC02532	Orru_2020
CD24 on IgD+ CD38- B cell	LINC02532	Orru_2020
CD24 on IgD+ CD38+ B cell	LINC02532	Orru_2020
CD24 on IgD- CD38- B cell	LINC02532	Orru_2020
CD24 on IgD- CD38dim B cell	LINC02532	Orru_2020
CD24 on memory B cell	GRIK2	Orru_2020
CD24 on memory B cell	LINC02532	Orru_2020
CD24 on unswitched memory B cell	HMSD	Orru_2020
CD24 on unswitched memory B cell	LINC02532	Orru_2020
CD24 on switched memory B cell	LINC02532	Orru_2020
CD24 on transitional B cell	LINC02532	Orru_2020
CD25 on B cell	NINJ1	Orru_2020
CD25 on CD24+ CD27+ B cell	NINJ1	Orru_2020
CD25 on CD24+ CD27+ B cell	RPL32P23	Orru_2020
CD25 on IgD+ CD24+ B cell	RPL32P23	Orru_2020
CD25 on IgD+ CD24- B cell	IGHD	Orru_2020
CD25 on IgD+ CD24- B cell	NINJ1	Orru_2020
CD25 on IgD+ CD38- B cell	NINJ1	Orru_2020
CD25 on IgD+ CD38+ B cell	NINJ1	Orru_2020
CD25 on IgD+ CD38+ B cell	IGHD	Orru_2020
CD25 on IgD+ CD38dim B cell	PKD1L1	Orru_2020
CD25 on IgD- CD24- B cell	PLCG2	Orru_2020
CD25 on IgD- CD27- B cell	CD40	Orru_2020
CD25 on IgD- CD38- B cell	GLIS3	Orru_2020
CD25 on IgD- CD38- B cell	IL2RA	Orru_2020
CD25 on IgD- CD38dim B cell	NINJ1	Orru_2020
CD25 on memory B cell	NINJ1	Orru_2020
CD25 on memory B cell	RPL32P23	Orru_2020
CD3 on naive CD8+ T cell	CD247	Orru_2020
CD3 on naive CD8+ T cell	CD247	Orru_2020
CD3 on naive CD8+ T cell	CD247	Orru_2020
CD3 on naive CD8+ T cell	CD247	Orru_2020
CD3 on naive CD8+ T cell	CD247	Orru_2020
CD3 on Effector Memory CD8+ T cell	CD247	Orru_2020
CD3 on Effector Memory CD8+ T cell	SRSF10P1	Orru_2020
CD3 on Effector Memory CD8+ T cell	CD247	Orru_2020
CD3 on Effector Memory CD8+ T cell	CD247	Orru_2020
CD3 on Effector Memory CD8+ T cell	CD247	Orru_2020
CD3 on Terminally Differentiated CD8+ T cell	PPP2R2C	Orru_2020
CD3 on Terminally Differentiated CD8+ T cell	CD247	Orru_2020
CD3 on Central Memory CD4+ T cell	LZTFL1	Orru_2020
CD3 on Central Memory CD4+ T cell	CD247	Orru_2020
CD3 on Central Memory CD4+ T cell	CD247	Orru_2020
CD3 on Central Memory CD4+ T cell	CD247	Orru_2020
CD3 on Naive CD4+ T cell	PGAP6	Orru_2020
CD3 on Naive CD4+ T cell	CD247	Orru_2020
CD3 on Naive CD4+ T cell	LZTFL1	Orru_2020
CD3 on Naive CD4+ T cell	CD247	Orru_2020
CD3 on Naive CD4+ T cell	CD247	Orru_2020
CD3 on Naive CD4+ T cell	CXCR5	Orru_2020
CD3 on Naive CD4+ T cell	CD247	Orru_2020
CD3 on Naive CD4+ T cell	CD247	Orru_2020
CD3 on Effector Memory CD4+ T cell	CD247	Orru_2020
CD27 on IgD- CD38dim B cell	LAPTM5	Orru_2020
CD27 on IgD- CD38dim B cell	CD27-AS1	Orru_2020
CD27 on IgD- CD38dim B cell	FCGR2A	Orru_2020
CD27 on IgD- CD38dim B cell	CMTM6	Orru_2020
CD27 on IgD- CD38dim B cell	CD40	Orru_2020
CD27 on memory B cell	NCAPD2	Orru_2020
CD27 on memory B cell	CMTM6	Orru_2020
CD27 on memory B cell	CD40	Orru_2020
CD27 on unswitched memory B cell	IGHD	Orru_2020
CD27 on unswitched memory B cell	FCGR2A	Orru_2020
CD27 on unswitched memory B cell	CD27-AS1	Orru_2020
CD27 on unswitched memory B cell	CMTM6	Orru_2020
CD27 on unswitched memory B cell	CD40	Orru_2020
CD27 on Plasma Blast-Plasma Cell	FCGR2A	Orru_2020
CD27 on Plasma Blast-Plasma Cell	CD38	Orru_2020
CD27 on switched memory B cell	LAPTM5	Orru_2020
CD27 on switched memory B cell	CD27-AS1	Orru_2020
CD27 on switched memory B cell	FCGR2A	Orru_2020
CD27 on switched memory B cell	CMTM6	Orru_2020
CD27 on switched memory B cell	CD40	Orru_2020
CD38 on IgD+ CD24- B cell	CD38	Orru_2020
CD38 on IgD+ CD38+ B cell	MTPAP	Orru_2020
CD25 on naive-mature B cell	NINJ1	Orru_2020
CD25 on unswitched memory B cell	NINJ1	Orru_2020
CD25 on unswitched memory B cell	RPL32P23	Orru_2020
CD25 on transitional B cell	IGHD	Orru_2020
CD27 on CD24+ CD27+ B cell	LAPTM5	Orru_2020
CD27 on CD24+ CD27+ B cell	CD27-AS1	Orru_2020
CD27 on CD24+ CD27+ B cell	FCGR2A	Orru_2020
CD27 on CD24+ CD27+ B cell	CMTM6	Orru_2020
CD27 on CD24+ CD27+ B cell	CD40	Orru_2020
CD27 on IgD+ CD24+ B cell	CD27-AS1	Orru_2020
CD27 on IgD+ CD24+ B cell	CMTM6	Orru_2020
CD27 on IgD+ CD24+ B cell	CD40	Orru_2020
CD27 on IgD- CD38- B cell	FCGR2A	Orru_2020
CD27 on IgD- CD38- B cell	CD27-AS1	Orru_2020
CD27 on IgD- CD38- B cell	CMTM6	Orru_2020
CD27 on IgD- CD38- B cell	CD40	Orru_2020
CD27 on IgD- CD38+ B cell	CD40	Orru_2020
CD27 on IgD- CD38+ B cell	CD27-AS1	Orru_2020
HLA DR on Dendritic Cell	HLA-DRB9	Orru_2020
HLA DR on Dendritic Cell	FCGR3A	Orru_2020
HLA DR on CD33dim HLA DR+ CD11b+	CIITA	Orru_2020
HLA DR on CD33dim HLA DR+ CD11b+	LPP	Orru_2020
HLA DR on CD33dim HLA DR+ CD11b-	CIITA	Orru_2020
CD11b on CD33+ HLA DR+ CD14dim	FCGR2A	Orru_2020
CD45RA on naive CD4+ T cell	JAZF1	Orru_2020
CD45RA on naive CD4+ T cell	GALM	Orru_2020
CD45RA on naive CD4+ T cell	HNRNPLL	Orru_2020
CD45RA on naive CD4+ T cell	GALM	Orru_2020
CD45RA on naive CD8+ T cell	GALM	Orru_2020
CD45RA on naive CD8+ T cell	HNRNPLL	Orru_2020
CD45RA on Terminally Differentiated CD8+ T cell	GALM	Orru_2020
CD45RA on resting CD4 regulatory T cell	GALM	Orru_2020
CD45RA on resting CD4 regulatory T cell	HNRNPLL	Orru_2020
CD45RA on resting CD4 regulatory T cell	GALM	Orru_2020
CD45RA on CD39+ resting CD4 regulatory T cell	HNRNPLL	Orru_2020
HLA DR on myeloid Dendritic Cell	FCGR3A	Orru_2020
HLA DR on plasmacytoid Dendritic Cell	PRKRA	Orru_2020
HLA DR on plasmacytoid Dendritic Cell	CIITA	Orru_2020
HLA DR on plasmacytoid Dendritic Cell	TVP23A	Orru_2020
SSC-A on Natural Killer T	MAML2	Orru_2020
SSC-A on Natural Killer T	NFILZ	Orru_2020
CD11c on myeloid Dendritic Cell	LDLRAP1	Orru_2020
CD11c on myeloid Dendritic Cell	ITGAM	Orru_2020
CD11c on CD62L+ myeloid Dendritic Cell	ITGAM	Orru_2020
CD11c on CD62L+ myeloid Dendritic Cell	LDLRAP1	Orru_2020
CD11c on monocyte	FCGR2A	Orru_2020
CD11c on granulocyte	ADAMTS4	Orru_2020
CD11c on granulocyte	SIGLEC5	Orru_2020
CD11c on granulocyte	FCGR2A	Orru_2020
CD11c on granulocyte	ITGAX	Orru_2020
CD11b on CD14+ monocyte	FCGR2A	Orru_2020
CD11b on Monocytic Myeloid-Derived Suppressor Cells	FCGR2A	Orru_2020
CD11b on CD33dim HLA DR-	ITGB2	Orru_2020
CD11b on basophil	ITGB2	Orru_2020
CD11b on basophil	ITGB2	Orru_2020
